study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJDB11578	SAMD00317537	DRX277701	DRR288245	447426	human oral metagenome	08036dde192ce2f0e858f291d3a07e47;bd3c051df0c95a1210b0a50f5ba45e38	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288245/DRR288245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288245/DRR288245_2.fastq.gz	SAMD00317537
PRJDB11578	SAMD00317539	DRX277703	DRR288247	447426	human oral metagenome	d06d131cdbad19085aff977845d4e231;6b17989ce9e18ae63f1a7c15bff4cfbe	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288247/DRR288247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288247/DRR288247_2.fastq.gz	SAMD00317539
PRJDB11578	SAMD00317540	DRX277704	DRR288248	447426	human oral metagenome	f9658b0154d7217391e52221b1cc4d1e;aa8dac02503a005116aeee4fa52e259c	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288248/DRR288248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288248/DRR288248_2.fastq.gz	SAMD00317540
PRJDB11578	SAMD00317541	DRX277705	DRR288249	447426	human oral metagenome	af8637fa898201f102db2e2986c2a3c4;9c1cb0001d67b19bc00054a8199c5da0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288249/DRR288249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288249/DRR288249_2.fastq.gz	SAMD00317541
PRJDB11578	SAMD00317550	DRX277714	DRR288258	447426	human oral metagenome	e88abcdc1618eee93ebf6f479de6b192;2ab791cd4d19ff71588b5312bd9a20ee	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288258/DRR288258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288258/DRR288258_2.fastq.gz	SAMD00317550
PRJDB11578	SAMD00317557	DRX277721	DRR288265	447426	human oral metagenome	ae31d21513c84cd7eb297adc6bcd9ed3;bf4dcd9b1c2a222d14b4c711ba590748	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288265/DRR288265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288265/DRR288265_2.fastq.gz	SAMD00317557
PRJDB11578	SAMD00317559	DRX277723	DRR288267	447426	human oral metagenome	d74416984916af91b83b5c5f10b891bc;d5e0b74859b29b22f61f69938558703e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288267/DRR288267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288267/DRR288267_2.fastq.gz	SAMD00317559
PRJDB11578	SAMD00317564	DRX277728	DRR288272	447426	human oral metagenome	cb585f05b1d048d4206181fd4e3d83fb;96208be3805fb332f383b71416f7cc8d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288272/DRR288272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288272/DRR288272_2.fastq.gz	SAMD00317564
PRJDB11578	SAMD00317569	DRX277733	DRR288277	447426	human oral metagenome	5770095a27f98e3b5054a506cf0f94c2;ee8429b75b221a8f7c5ff7f3182ea693	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288277/DRR288277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288277/DRR288277_2.fastq.gz	SAMD00317569
PRJDB11578	SAMD00317572	DRX277736	DRR288280	447426	human oral metagenome	7ba0b3fa890a7e62810191d827c50d76;9ded40be2d9a7b3c82312a28330e145e	ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288280/DRR288280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR288/DRR288280/DRR288280_2.fastq.gz	SAMD00317572
