study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	submitted_md5	submitted_ftp
PRJEB33905	SAMEA5855886	ERX3492787	ERR3471124	408170	human gut metagenome	2889016cb3bdcb87c3a3ee2b0f1183b6;216724afdb2a791a6144af31afc2390b	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471124/J0001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471124/J0001_2.fastq.gz
PRJEB33905	SAMEA5855893	ERX3492794	ERR3471131	408170	human gut metagenome	3d4cc941f690ed45b910bf87e2686e04;7f439d6e568447ace9d2763e5102d690	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471131/J0008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471131/J0008_2.fastq.gz
PRJEB33905	SAMEA5855895	ERX3492796	ERR3471133	408170	human gut metagenome	d3c7a6b2b4a5e74c88e5673f9d901474;5088efd6650613d0ae12b800421bc2b4	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471133/J0010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471133/J0010_2.fastq.gz
PRJEB33905	SAMEA5855898	ERX3492799	ERR3471136	408170	human gut metagenome	990c877d9f194ab23d4f427891bd6bf2;138db7129d2d6e5dc4f35301e13bcfa8	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471136/J0013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471136/J0013_2.fastq.gz
PRJEB33905	SAMEA5855901	ERX3492802	ERR3471139	408170	human gut metagenome	ae377a31abd61e972b93998c1955fe5c;2a8abf89e9c007a2d2c9bb563e4513ca	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471139/J0016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471139/J0016_2.fastq.gz
PRJEB33905	SAMEA5855902	ERX3492803	ERR3471140	408170	human gut metagenome	9093d68f0c52c64a0131c11e34cb3644;63e6f0e6d0f48dfc0c8361984d99d0ff	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471140/J0018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471140/J0018_2.fastq.gz
PRJEB33905	SAMEA5855906	ERX3492807	ERR3471144	408170	human gut metagenome	7d3d43d557cf6fe4c5072ef7fe58468b;9134b25df1b2784671d0f3d3695ac3ed	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471144/J0022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471144/J0022_2.fastq.gz
PRJEB33905	SAMEA5855910	ERX3492811	ERR3471148	408170	human gut metagenome	65a1d9f4790691a0d595ca217ae1f229;9b46a769d67b0a9856bbc1ed93a94ce5	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471148/J0026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471148/J0026_2.fastq.gz
PRJEB33905	SAMEA5855912	ERX3492813	ERR3471150	408170	human gut metagenome	797de1e57f6e7b73dd45ce70fed3198d;e90566d49b3e773cb4e984144d639190	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471150/J0028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471150/J0028_2.fastq.gz
PRJEB33905	SAMEA5855914	ERX3492815	ERR3471152	408170	human gut metagenome	85e00f4e5406d89d83658ba0c7780463;b13aa28fdd34d7860c51510f44456c40	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471152/J0031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471152/J0031_2.fastq.gz
PRJEB33905	SAMEA5855918	ERX3492819	ERR3471156	408170	human gut metagenome	8eb82063b2f77bca8db60606dc6d08c1;730eefccc9c352b502c2db11109b4148	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471156/J0035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471156/J0035_2.fastq.gz
PRJEB33905	SAMEA5855922	ERX3492823	ERR3471160	408170	human gut metagenome	aea10817eb424bc019de148100629f6c;b985d5cea330eb56a5edddfdc4519f33	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471160/J0040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471160/J0040_2.fastq.gz
PRJEB33905	SAMEA5855924	ERX3492825	ERR3471162	408170	human gut metagenome	49fe2cc06f6e6ef1b25f42c8e12fbf3f;161a43962228f761f60ffe51fda91ea8	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471162/J0042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471162/J0042_2.fastq.gz
PRJEB33905	SAMEA5855935	ERX3492836	ERR3471173	408170	human gut metagenome	e0ce702b218a771f7f828f19ec04a8e7;94db805602eb668ed29ec9f4c8b005d5	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471173/J0053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471173/J0053_2.fastq.gz
PRJEB33905	SAMEA5855939	ERX3492840	ERR3471177	408170	human gut metagenome	9d1fd49dbdf59c7fd7a01b4a83e8ae0f;08cb1dce99c63ff328e25005e2c3a508	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471177/J0057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471177/J0057_2.fastq.gz
PRJEB33905	SAMEA5855940	ERX3492841	ERR3471178	408170	human gut metagenome	56d6eeaa9f093392c37348fc64ddd39e;e0bf01dda30b040cd272758368e79a10	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471178/J0058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471178/J0058_2.fastq.gz
PRJEB33905	SAMEA5855951	ERX3492852	ERR3471189	408170	human gut metagenome	16736e9affe366a8eec8f2f2d9b41ecc;8aa530af857334c64abb7d9a68d6f7cf	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471189/J0070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471189/J0070_2.fastq.gz
PRJEB33905	SAMEA5855957	ERX3492858	ERR3471195	408170	human gut metagenome	edb0b5de3da87840a49d9828f9454ae8;2a47bf84548082825ff15c328b6e2cf5	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471195/J0076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471195/J0076_2.fastq.gz
PRJEB33905	SAMEA5855960	ERX3492861	ERR3471198	408170	human gut metagenome	ccf430aa7d742ddce77659af3b1c6e14;73a5c9e3dda4139d97056f554f845e8b	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471198/J0079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471198/J0079_2.fastq.gz
PRJEB33905	SAMEA5855962	ERX3492863	ERR3471200	408170	human gut metagenome	f677c5a81862242f58df5e25889da019;3feadeac65b8000fe96ac95991d101a1	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471200/J0081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471200/J0081_2.fastq.gz
PRJEB33905	SAMEA5855964	ERX3492865	ERR3471202	408170	human gut metagenome	64577ca47df6d53b04eb57afbd968e2e;5a45700740057997131c8c800bce0641	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471202/J0083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471202/J0083_2.fastq.gz
PRJEB33905	SAMEA5855966	ERX3492867	ERR3471204	408170	human gut metagenome	f5f7bff2ab555ea69a0c686274858fba;9a36870f5391a6f46630946731266824	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471204/J0085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471204/J0085_2.fastq.gz
PRJEB33905	SAMEA5855972	ERX3492873	ERR3471210	408170	human gut metagenome	f63369bb45799fce9b69c812978b7ec5;7293917c8e51a075298ac4f773bbc554	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471210/J0091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471210/J0091_2.fastq.gz
PRJEB33905	SAMEA5855975	ERX3492876	ERR3471213	408170	human gut metagenome	792b807ff86e608158e0b8d5d24b1aaf;deb6428fcd7a3613ccce6ece7c050f2a	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471213/J0094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471213/J0094_2.fastq.gz
PRJEB33905	SAMEA5855976	ERX3492877	ERR3471214	408170	human gut metagenome	5b8f5519772e533db97d2ea570495043;6993bd371784ef660cee4911325eee2e	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471214/J0095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471214/J0095_2.fastq.gz
PRJEB33905	SAMEA5855977	ERX3492878	ERR3471215	408170	human gut metagenome	239e7980a6f3aeaec9948e7173a949f0;4ba53ed7cb4603774b54a79aed4514f3	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471215/J0096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471215/J0096_2.fastq.gz
PRJEB33905	SAMEA5855980	ERX3492881	ERR3471218	408170	human gut metagenome	d901b7ec920363ebe420281a2b6352c9;20b4e0a9172bdc6566c621b5bf5ed170	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471218/J0099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471218/J0099_2.fastq.gz
PRJEB33905	SAMEA5855984	ERX3492885	ERR3471222	408170	human gut metagenome	89fb00812f0eb0722259540390b8dfcf;a8e1ebae960b7b311cc49ffd64bae73a	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471222/J0103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471222/J0103_2.fastq.gz
PRJEB33905	SAMEA5855985	ERX3492886	ERR3471223	408170	human gut metagenome	0f5e8cac37f89fe133b5ff60d18531e5;ea6c9c10c33b48c6bb216b9c842c377b	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471223/J0104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471223/J0104_2.fastq.gz
PRJEB33905	SAMEA5855996	ERX3492897	ERR3471234	408170	human gut metagenome	6e4cab9ea353c3e6f48ed51ccadb1d1f;cdf57dfe3deb8dfc0d18b44e00626dd8	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471234/J0115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471234/J0115_2.fastq.gz
PRJEB33905	SAMEA5855997	ERX3492898	ERR3471235	408170	human gut metagenome	76015f8362579394c8fc94be906c73f4;62e6b00c8984a976668f9113e918a368	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471235/J0116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471235/J0116_2.fastq.gz
PRJEB33905	SAMEA5856002	ERX3492903	ERR3471240	408170	human gut metagenome	fbf14956f34a3a59d113053f1f3d5247;1bbb68ff4255edecda4b4f73e528641d	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471240/J0122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471240/J0122_2.fastq.gz
PRJEB33905	SAMEA5856005	ERX3492906	ERR3471243	408170	human gut metagenome	ef6d7b4fb731c4567dd2cdf20ffb1e3b;6bd04252b6272e6997429acd9df2b689	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471243/J0125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471243/J0125_2.fastq.gz
PRJEB33905	SAMEA5856008	ERX3492909	ERR3471246	408170	human gut metagenome	bd52731fde1aa715b44aa3f044bb61be;154cc58fec529d320d1fc85c48816e39	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471246/J0128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471246/J0128_2.fastq.gz
PRJEB33905	SAMEA5856015	ERX3492916	ERR3471253	408170	human gut metagenome	39b2d6f63f0139e0b983ef0dfe29a68d;495136841d5a4f9d93e33c1925a626dc	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471253/J0136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471253/J0136_2.fastq.gz
PRJEB33905	SAMEA5856018	ERX3492919	ERR3471256	408170	human gut metagenome	cf9187b35e37dc6075fb1e5598d54c94;7173c54ddf5474da244c17fdf2a30354	ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471256/J0139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR347/ERR3471256/J0139_2.fastq.gz
