study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	submitted_md5	submitted_ftp	sample_alias
PRJEB57967	SAMEA112182008	ERX10072216	ERR10558613	447426	human oral metagenome	537d0839243c3af7a27d7601906b362e;3f4524abe96f05401d20ed579fc40a20	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558613/SJ1002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558613/SJ1002_2.fastq.gz	SJ1002
PRJEB57967	SAMEA112182148	ERX10072217	ERR10558614	447426	human oral metagenome	7f93f85ba079deed093e0cf800ee8d6e;9bd201ce659c00aedcc1aa6729f0eea6	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558614/SJ1003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558614/SJ1003_2.fastq.gz	SJ1003
PRJEB57967	SAMEA112181914	ERX10072219	ERR10558616	447426	human oral metagenome	9fbbedb1e7e1c89797db307855cea372;2ce6e742f1bd40e4fa7a6fbf3faff808	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558616/SJ1005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558616/SJ1005_2.fastq.gz	SJ1005
PRJEB57967	SAMEA112182303	ERX10072225	ERR10558622	447426	human oral metagenome	458080e037da73c539ba2f6fcb7ef32c;1caed9e52c4d8a1ab099f8850b58d295	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558622/SJ1011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558622/SJ1011_2.fastq.gz	SJ1011
PRJEB57967	SAMEA112182281	ERX10072240	ERR10558637	447426	human oral metagenome	c9b36b01ac35783ea17e6f1415495288;f7b5c7d7db3f1448275a3fc80c2ee60e	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558637/SJ1026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558637/SJ1026_2.fastq.gz	SJ1026
PRJEB57967	SAMEA112182080	ERX10072242	ERR10558639	447426	human oral metagenome	b5d883031b56478f18b94d5c071a5fb7;485fc9bc1d9dc7b0b41e43a067144c54	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558639/SJ1028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558639/SJ1028_2.fastq.gz	SJ1028
PRJEB57967	SAMEA112182217	ERX10072247	ERR10558644	447426	human oral metagenome	77404ca02b99409fd85c1ebdc8065a47;191bbe6ad3b06e4ee6f4a0bee0e388b5	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558644/SJ1033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558644/SJ1033_2.fastq.gz	SJ1033
PRJEB57967	SAMEA112182258	ERX10072253	ERR10558650	447426	human oral metagenome	f6568c0e1d9bec7ba56150dec282b45f;07d73eaefcea842521d7cce27c04868a	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558650/SJ1039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558650/SJ1039_2.fastq.gz	SJ1039
PRJEB57967	SAMEA112182472	ERX10072257	ERR10558654	447426	human oral metagenome	572902e2660ae9d819b985a89ac46094;b360edeaadeaf6349dacd57a8dfd7fac	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558654/SJ1043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558654/SJ1043_2.fastq.gz	SJ1043
PRJEB57967	SAMEA112182100	ERX10072259	ERR10558656	447426	human oral metagenome	7b7682f8f1e44785e43a976e046ce8f1;9b77c1f1346180dc7b06e172b025f60c	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558656/SJ1045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558656/SJ1045_2.fastq.gz	SJ1045
PRJEB57967	SAMEA112182079	ERX10072262	ERR10558659	447426	human oral metagenome	2d8331e6df2c7381248844d41c998db1;ac01dce88c4ad1ca23464876abd3ee94	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558659/SJ1048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558659/SJ1048_2.fastq.gz	SJ1048
PRJEB57967	SAMEA112182056	ERX10072263	ERR10558660	447426	human oral metagenome	7114f3087a4b408c79825a8e7a237d68;ef7c97e6dc8583e36b399ddd8ec51334	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558660/SJ1049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558660/SJ1049_2.fastq.gz	SJ1049
PRJEB57967	SAMEA112182422	ERX10072265	ERR10558662	447426	human oral metagenome	1bf5709680031565ce72c36512444f55;e65acb1e5db7aba41e5c4fc68c13fed7	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558662/SJ1051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558662/SJ1051_2.fastq.gz	SJ1051
PRJEB57967	SAMEA112182404	ERX10072269	ERR10558666	447426	human oral metagenome	44f6e8ce613aafc61860e6c5a1de31ad;0388499dedac896f95ae702080fe02ce	ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558666/SJ1055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR105/ERR10558666/SJ1055_2.fastq.gz	SJ1055
