study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp
PRJNA393472	SAMN07515378	SRX3103528	SRR5944960	1632839	human vaginal metagenome	35706a215a5bf05c2cb4ee287be00372;e9b00ac2dd2df90e3221f05e805e289e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5944960/SRR5944960_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5944960/SRR5944960_2.fastq.gz
PRJNA393472	SAMN07515380	SRX3103520	SRR5944968	1632839	human vaginal metagenome	927624f045327e132b831743c53da266;7533bc403bb872a436434b2ff8733e1f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5944968/SRR5944968_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5944968/SRR5944968_2.fastq.gz
PRJNA393472	SAMN07515379	SRX3103519	SRR5944969	1632839	human vaginal metagenome	f2e99db17d9a222425b93c29dc7d7dc8;f7d48d7fda059285bf013dbade8fe47b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5944969/SRR5944969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/009/SRR5944969/SRR5944969_2.fastq.gz
PRJNA393472	SAMN07515297	SRX3103518	SRR5944970	1632839	human vaginal metagenome	da78e0c72d2f35d96b040bbf6ac6d80f;2974ae8923eb5f0bb86587068bd663c6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5944970/SRR5944970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/000/SRR5944970/SRR5944970_2.fastq.gz
PRJNA393472	SAMN07515343	SRX3103516	SRR5944972	1632839	human vaginal metagenome	345d16339764ef1658a827895e5e1981;ed5b974dce099d6966bb396b855e6187	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5944972/SRR5944972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5944972/SRR5944972_2.fastq.gz
PRJNA393472	SAMN07515344	SRX3103515	SRR5944973	1632839	human vaginal metagenome	c0b485aec2ed50af8aeda5501e4f0a2c;09e0efb38574dbf34705b9913bf595c0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5944973/SRR5944973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/003/SRR5944973/SRR5944973_2.fastq.gz
PRJNA393472	SAMN07515341	SRX3103514	SRR5944974	1632839	human vaginal metagenome	e91de9b8325082725df8bd399b334f7e;945b9a9b63d8324dabe79a856fb9cb60	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5944974/SRR5944974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/004/SRR5944974/SRR5944974_2.fastq.gz
PRJNA393472	SAMN07515347	SRX3103512	SRR5944976	1632839	human vaginal metagenome	08c46f26dde014dac98a50604b732ad0;c894fab812ff57aab5327047b6cbdf48	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5944976/SRR5944976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/006/SRR5944976/SRR5944976_2.fastq.gz
PRJNA393472	SAMN07515345	SRX3103510	SRR5944978	1632839	human vaginal metagenome	99fc02b53150de3cfb37eea609014de5;0f34959ea425cf8e9052ddf05f947ade	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5944978/SRR5944978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/008/SRR5944978/SRR5944978_2.fastq.gz
PRJNA393472	SAMN07515240	SRX3103506	SRR5944982	1632839	human vaginal metagenome	ce01831a53188152894d3558ec4e828a;e75a238a45799cfe96ab017d564f0767	ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5944982/SRR5944982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/002/SRR5944982/SRR5944982_2.fastq.gz
