study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA940351	SAMN33562941	SRX19552247	SRR23689533	408170	human gut metagenome	8f4ebb9763ed3299d0e4ea9f50bf74d8;181922fbd9c55a1ffa96134e6885782b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/033/SRR23689533/SRR23689533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/033/SRR23689533/SRR23689533_2.fastq.gz	TG28651703
PRJNA940351	SAMN33562942	SRX19552246	SRR23689534	408170	human gut metagenome	15580f9bd2f1e0e6cdfba662a1b20c2e;04e0e5badde2aea6029c6dac14be6ec1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/034/SRR23689534/SRR23689534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/034/SRR23689534/SRR23689534_2.fastq.gz	TG29339017
PRJNA940351	SAMN33562945	SRX19552243	SRR23689537	408170	human gut metagenome	d36da470af2d71db3e4257bb4e211d3b;ab0c0184c8b8d4af3a77e24b466fc7b5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/037/SRR23689537/SRR23689537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/037/SRR23689537/SRR23689537_2.fastq.gz	TG29676863
PRJNA940351	SAMN33562751	SRX19552235	SRR23689545	447426	human oral metagenome	78b328280f102bbc282deb069dc8f615;4923be27d44f76e411d603c6d96e65c0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/045/SRR23689545/SRR23689545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/045/SRR23689545/SRR23689545_2.fastq.gz	TO12057086
PRJNA940351	SAMN33562757	SRX19552229	SRR23689551	447426	human oral metagenome	c32175359469ecda8b7993601b457be7;253e1a9aa84ec841ee1710da02a07952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/051/SRR23689551/SRR23689551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/051/SRR23689551/SRR23689551_2.fastq.gz	TO12496651
PRJNA940351	SAMN33562761	SRX19552224	SRR23689556	447426	human oral metagenome	f2b8ebe1fc29aabbe42ee292594005a0;56f87e69b651b61300a71b43e2588892	ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/056/SRR23689556/SRR23689556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/056/SRR23689556/SRR23689556_2.fastq.gz	TO13072609
PRJNA940351	SAMN33562763	SRX19552222	SRR23689558	447426	human oral metagenome	c42d578e48ace672efaa939526e8edba;8ad0f6dcd65762f2200d1fa4765f7c34	ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/058/SRR23689558/SRR23689558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/058/SRR23689558/SRR23689558_2.fastq.gz	TO13125610
PRJNA940351	SAMN33562766	SRX19552219	SRR23689561	447426	human oral metagenome	f3d7189a811c30a5eeb6abad498b9eb7;94c9ead5f424d60da147175be4d5e558	ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/061/SRR23689561/SRR23689561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/061/SRR23689561/SRR23689561_2.fastq.gz	TO13511616
PRJNA940351	SAMN33562768	SRX19552217	SRR23689563	447426	human oral metagenome	259cfc9254958f43b69a36e2b83778c0;59ae2a879c5fa675cb3983122f7b2e00	ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/063/SRR23689563/SRR23689563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/063/SRR23689563/SRR23689563_2.fastq.gz	TO13743582
PRJNA940351	SAMN33562879	SRX19552207	SRR23689573	408170	human gut metagenome	7f5c9ce5c238eb2587e1705f98200942;a9d51ae99f64e54fd6af126fc1abd5fd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/073/SRR23689573/SRR23689573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/073/SRR23689573/SRR23689573_2.fastq.gz	TG13638527
